,Accuracy,F1-macro,ROC-AUC,RMSE (Prob)
VanillaRNN,0.4465592972181552,0.30870445344129555,0.5240957585219881,0.5018528699874878
LSTM,0.4465592972181552,0.30870445344129555,0.517594761037384,0.5017979145050049
GRU,0.541727672035139,0.5304171526601692,0.5237488073553648,0.4997977912425995
